Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Halt Time,Departure Time,Distance,Distance Traveled,Distance to Next Station,Distance to Destination,Platform Number,Source Station,Source Station Name,Destination Station,Destination Station Name,Coach Count,Coaches
20607,MGR Chennai Central-Mysuru Vande Bharat Express,1,MAS,MGR Chennai Central,--:--:--,0,05:50:00,0,0.0,136.0,136.0,10,MAS,MGR Chennai,MYS,Mysuru,16,"C1, C14, E1, E2, C2, C13, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12"
20607,MGR Chennai Central-Mysuru Vande Bharat Express,2,KPD,Katpadi Junction,07:13:00,2,07:15:00,136,136.0,0.0,0.0,1,MAS,MGR Chennai,MYS,Mysuru,16,"C1, C14, E1, E2, C2, C13, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12"
20607,MGR Chennai Central-Mysuru Vande Bharat Express,3,SBC,KSR Bengaluru City Junction,07:13:00,5,07:15:00,136.0,136.0,0.0,0.0,7,MAS,MGR Chennai,MYS,Mysuru,16,"C1, C14, E1, E2, C2, C13, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12"
20607,MGR Chennai Central-Mysuru Vande Bharat Express,4,MYS,Mysuru Junction,07:13:00,0,--:--:--,136.0,136.0,0.0,0.0,2,MAS,MGR Chennai,MYS,Mysuru,16,"C1, C14, E1, E2, C2, C13, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12"
20608,Mysuru-MGR Chennai Central Vande Bharat Express,1,MYS,Mysuru Junction,--:--:--,0,13:05:00,0,0.0,0.0,498.0,1,MYS,Mysuru,MAS,MGR Chennai,16,"C14, C1, E2, E1, C13, C2, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20608,Mysuru-MGR Chennai Central Vande Bharat Express,2,SBC,KSR Bengaluru City Junction,14:45:00,5,13:05:00,0.0,0.0,0.0,498.0,7,MYS,Mysuru,MAS,MGR Chennai,16,"C14, C1, E2, E1, C13, C2, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20608,Mysuru-MGR Chennai Central Vande Bharat Express,3,KPD,Katpadi Junction,17:33:00,2,13:05:00,0.0,0.0,498.0,498.0,2,MYS,Mysuru,MAS,MGR Chennai,16,"C14, C1, E2, E1, C13, C2, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20608,Mysuru-MGR Chennai Central Vande Bharat Express,4,MAS,MGR Chennai Central,19:20:00,0,--:--:--,498,498.0,0.0,0.0,1,MYS,Mysuru,MAS,MGR Chennai,16,"C14, C1, E2, E1, C13, C2, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20627,Chennai Egmore-Nagercoil Vande Bharat Express,1,MS,Chennai Egmore,--:--:--,0,05:00:00,0,0.0,25.0,726.0,2,MS,Chennai Egmore,NCJ,Nagercoil,20,"C18, C1, E2, E1, C17, C2, C16, C15, C14, C13, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
20627,Chennai Egmore-Nagercoil Vande Bharat Express,2,TBM,Tambaram,05:20:00,2,05:22:00,25,25.0,133.0,701.0,5,MS,Chennai Egmore,NCJ,Nagercoil,20,"C18, C1, E2, E1, C17, C2, C16, C15, C14, C13, C12, C11, C10, C9, C8, C7, C6, C5, C4, C3"
